student_id,total_risk,risk_rank
pjxyqxbl858,0.3025,606
pjxyqwbj340,0.3008,607
pjxuqwbj830,0.297,608
pjxxzxbj998,0.297,609
pjxyqwbk511,0.2965,610
pjxyqxbk401,0.2956,611
pjxuqwbj496,0.295,612
pjxyqwbj367,0.2947,613
pjxyqxbk775,0.2925,614
pjxyqwbk624,0.2904,615
pjxuqwbj638,0.2895,616
pjxsqxbj936,0.2878,617
pjxyqxbj315,0.287,618
pjxpqxbj934,0.2842,619
pjxyqwbj279,0.2822,620
pjxyqxbl943,0.28,621
pjxyqxbk125,0.2775,622
pjxyqxbk603,0.2754,623
pjxyqxbj063,0.2675,624
pjxyqxbj225,0.2675,625
pjxyqxbj840,0.2661,626
pjwtqxbj971,0.265,627
pjxyqwbk510,0.2621,628
pjxyqwbj785,0.2608,629
pjxsqxbj780,0.26,630
pjxyqxbj585,0.255,631
pjxrqxbj996,0.2548,632
pjxuqwbj511,0.2536,633
pjwrqxbj952,0.235,634
pjxyqxbk783,0.2268,635
pjxsqxbj918,0.2248,636
pjxyqxbj221,0.22,637
pjxyqwbk835,0.2127,638
pjxyqxbj492,0.2075,639
pjxyqxbk204,0.2044,640
pjwrzxbj996,0.2,641
pjxuqwbj750,0.1997,642
pjxyqxbk882,0.1994,643
pjxyqxbj827,0.1975,644
pjxuqwbj890,0.195,645
pjxyqxbj691,0.195,646
pjxyqwbk559,0.1949,647
pjxuqwbj925,0.1938,648
pjxyqxbj851,0.1928,649
pjxtztbj996,0.1875,650
pjxuzxbj986,0.1867,651
pjxuqwbj651,0.185,652
pjxyqxbj100,0.175,653
pjxuqwbj490,0.1732,654
pjxyqwbk583,0.1661,655
pjxyqxbk615,0.165,656
pjxyqxbk268,0.1464,657
pjxyqxbj160,0.1425,658
pjxuqwbj933,0.14,659
pjxyqxbk201,0.13,660
pjxuqwbj786,0.12,661
pjxyqxbk000,0.12,662
pjxyqxbk614,0.1088,663
pjxwxxbj941,0.1025,664
pjxyqwbj441,0.1,665
pjxyqxbk305,0.1,666
pjxyqxbj777,0.0917,667
pjxsqxbj787,0.09,668
pjxuqwbj445,0.09,669
pjxyqxbj753,0.0875,670
pjxuqwbj935,0.08,671
pjxyqxbk470,0.08,672
pjxyqxbj132,0.0775,673
pjxyqxbk953,0.0725,674
pjxyqxbl957,0.0725,675
pjxyqxbk479,0.07,676
pjxyqwbj174,0.0652,677
pjxyqxbj098,0.065,678
pjxyqxbk486,0.0575,679
pjxyqxbk081,0.055,680
pjxyqxbj359,0.0513,681
pjxyqxbj559,0.045,682
pjxyqxbj021,0.0425,683
pjxyqxbk840,0.0425,684
pjxyqxbj403,0.0375,685
pjwtqxbj918,0.025,686
pjxyqwbk736,0.0187,687
200307700011,,688
pjvyzvfj974,,689
pjvyzvfj977,,690
pjvyzvfj989,,691
pjvyzvfj994,,692
pjvyzvfj998,,693
pjvyzxbj993,,694
pjvyzxbj995,,695
pjvyzxbj997,,696
pjwqzwbj998,,697
pjwrqxbj882,,698
pjwrqxbj884,,699
pjwrqxbj890,,700
pjwrqxbj898,,701
pjwrqxbj913,,702
pjwrqxbj918,,703
pjwrqxbj920,,704
pjwrqxbj923,,705
pjwrqxbj924,,706
pjwrqxbj925,,707
pjwrqxbj926,,708
pjwrqxbj929,,709
pjwrqxbj932,,710
pjwrqxbj935,,711
pjwrqxbj938,,712
pjwrqxbj944,,713
pjwrqxbj945,,714
pjwrqxbj948,,715
pjwrqxbj955,,716
pjwrqxbj956,,717
pjwrqxbj965,,718
pjwrqxbj967,,719
pjwrqxbj973,,720
pjwrqxbj974,,721
pjwrqxbj977,,722
pjwrqxbj978,,723
pjwrqxbj979,,724
pjwrqxbj980,,725
pjwrqxbj983,,726
pjwrqxbj984,,727
pjwrqxbj988,,728
pjwrqxbj991,,729
pjwrqxbj992,,730
pjwrqxbj994,,731
pjwrqxbj998,,732
pjwtqxbj913,,733
pjwtqxbj914,,734
pjwtqxbj920,,735
pjwtqxbj921,,736
pjwtqxbj928,,737
pjwtqxbj929,,738
pjwtqxbj930,,739
pjwtqxbj931,,740
pjwtqxbj932,,741
pjwtqxbj933,,742
pjwtqxbj939,,743
pjwtqxbj941,,744
pjwtqxbj942,,745
pjwtqxbj943,,746
pjwtqxbj944,,747
pjwtqxbj946,,748
pjwtqxbj947,,749
pjwtqxbj950,,750
pjwtqxbj952,,751
pjwtqxbj953,,752
pjwtqxbj957,,753
pjwtqxbj959,,754
pjwtqxbj960,,755
pjwtqxbj967,,756
pjwtqxbj968,,757
pjwtqxbj969,,758
pjwtqxbj972,,759
pjwtqxbj976,,760
pjwtqxbj977,,761
pjwtqxbj979,,762
pjwtqxbj982,,763
pjwtqxbj983,,764
pjwtqxbj984,,765
pjwtqxbj985,,766
pjwtqxbj987,,767
pjwtqxbj988,,768
pjwtqxbj993,,769
pjwtzxbj996,,770
pjwuzxbj992,,771
pjwuzxbj995,,772
pjxpqxbj911,,773
pjxpqxbj912,,774
pjxpqxbj914,,775
pjxpqxbj916,,776
pjxpqxbj918,,777
pjxpqxbj919,,778
pjxpqxbj924,,779
pjxpqxbj926,,780
pjxpqxbj927,,781
pjxpqxbj930,,782
pjxpqxbj933,,783
pjxpqxbj945,,784
pjxpqxbj946,,785
pjxpqxbj954,,786
pjxpqxbj955,,787
pjxpqxbj956,,788
pjxpqxbj957,,789
pjxpqxbj961,,790
pjxpqxbj967,,791
pjxpqxbj969,,792
pjxpqxbj971,,793
pjxpqxbj972,,794
pjxpqxbj973,,795
pjxpqxbj975,,796
pjxpqxbj976,,797
pjxpqxbj977,,798
pjxpqxbj979,,799
pjxpqxbj985,,800
pjxpqxbj986,,801
pjxpqxbj987,,802
pjxpqxbj992,,803
pjxpqxbj994,,804
pjxpqxbj997,,805
pjxpqxbj998,,806
pjxqqxbj947,,807
pjxqqxbj959,,808
pjxqqxbj967,,809
pjxqqxbj973,,810
pjxqqxbj974,,811
pjxqqxbj979,,812
pjxqqxbj988,,813
pjxqqxbj996,,814
