request_id,feature_group,model_name,threshold_strategy,threshold,auc,f1,recall,precision,selected_threshold,selection_reason
study_train_evolution_request,grade_dominant,RandomForest,recall_priority,0.5,0.8407959358238718,0.6603036876355748,0.6752440106477373,0.6460101867572157,False,
study_train_evolution_request,grade_dominant,RandomForest,recall_priority,0.55,0.8407959358238718,0.6445275958840038,0.611357586512866,0.6815034619188922,False,
study_train_evolution_request,grade_dominant,RandomForest,recall_priority,0.6,0.8407959358238718,0.633,0.5616681455190772,0.7250859106529209,False,
study_train_evolution_request,grade_dominant,RandomForest,recall_priority,0.65,0.8407959358238718,0.6137453383058071,0.5110913930789707,0.768,False,
study_train_evolution_request,grade_dominant,RandomForest,recall_priority,0.7,0.8407959358238718,0.579841449603624,0.45430346051464066,0.8012519561815337,False,
study_train_evolution_request,grade_dominant,RandomForest,recall_priority,0.75,0.8407959358238718,0.5449101796407185,0.40372670807453415,0.8379373848987108,False,
study_train_evolution_request,grade_dominant,RandomForest,recall_priority,0.8,0.8407959358238718,0.4949748743718593,0.34960070984915703,0.8473118279569892,False,
study_train_evolution_request,grade_dominant,RandomForest,recall_priority,0.85,0.8407959358238718,0.4305835010060362,0.28482697426796805,0.8818681318681318,False,
study_train_evolution_request,grade_dominant,RandomForest,recall_priority,0.9,0.8407959358238718,0.3364620938628159,0.2067435669920142,0.9031007751937985,False,
study_train_evolution_request,topk_selected,LogisticRegression,default_0_5,0.5,0.8196258138176193,0.6303084488153777,0.6255545696539485,0.6351351351351351,True,fixed threshold 0.5
study_train_evolution_request,topk_selected,LogisticRegression,best_f1,0.1,0.8196258138176193,0.5043869516310461,0.9946761313220941,0.3378541289933695,False,
study_train_evolution_request,topk_selected,LogisticRegression,best_f1,0.15,0.8196258138176193,0.5270588235294118,0.9937888198757764,0.35862952289465255,False,
study_train_evolution_request,topk_selected,LogisticRegression,best_f1,0.2,0.8196258138176193,0.5372918175235337,0.9875776397515528,0.36903183023872677,False,
study_train_evolution_request,topk_selected,LogisticRegression,best_f1,0.25,0.8196258138176193,0.5629667782642287,0.9698314108251996,0.396589259796807,False,
study_train_evolution_request,topk_selected,LogisticRegression,best_f1,0.3,0.8196258138176193,0.6008708272859217,0.9183673469387755,0.44650560828300256,False,
study_train_evolution_request,topk_selected,LogisticRegression,best_f1,0.35,0.8196258138176193,0.6228842247799594,0.8163265306122449,0.5035577449370553,False,
study_train_evolution_request,topk_selected,LogisticRegression,best_f1,0.4,0.8196258138176193,0.6402439024390244,0.7453416149068323,0.561122244488978,False,
study_train_evolution_request,topk_selected,LogisticRegression,best_f1,0.45,0.8196258138176193,0.6434494195688225,0.6885536823425022,0.6038910505836576,True,maximized validation F1
study_train_evolution_request,topk_selected,LogisticRegression,best_f1,0.5,0.8196258138176193,0.6303084488153777,0.6255545696539485,0.6351351351351351,False,
study_train_evolution_request,topk_selected,LogisticRegression,best_f1,0.55,0.8196258138176193,0.6265972550875533,0.5874001774622892,0.6713995943204868,False,
