sid,term_id,cluster
pjxuqwbj491,2020-2021-T1,1
pjxuqwbj492,2020-2021-T1,1
pjxuqwbj495,2020-2021-T1,3
pjxuqwbj496,2020-2021-T1,1
pjxuqwbj497,2020-2021-T1,1
pjxuqwbj498,2020-2021-T1,1
pjxuqwbj499,2020-2021-T1,1
pjxuqwbj500,2020-2021-T1,1
pjxuqwbj503,2020-2021-T1,1
pjxuqwbj505,2020-2021-T1,1
pjxuqwbj507,2020-2021-T1,1
pjxuqwbj508,2020-2021-T1,3
pjxuqwbj511,2020-2021-T1,3
pjxuqwbj512,2020-2021-T1,1
pjxuqwbj515,2020-2021-T1,1
pjxuqwbj516,2020-2021-T1,1
pjxuqwbj517,2020-2021-T1,1
pjxuqwbj519,2020-2021-T1,1
pjxuqwbj525,2020-2021-T1,3
pjxuqwbj526,2020-2021-T1,1
pjxuqwbj527,2020-2021-T1,1
pjxuqwbj528,2020-2021-T1,1
pjxuqwbj529,2020-2021-T1,1
pjxuqwbj535,2020-2021-T1,1
pjxuqwbj536,2020-2021-T1,1
pjxuqwbj537,2020-2021-T1,1
pjxuqwbj538,2020-2021-T1,1
pjxuqwbj539,2020-2021-T1,1
pjxuqwbj540,2020-2021-T1,1
pjxuqwbj545,2020-2021-T1,3
pjxuqwbj546,2020-2021-T1,1
pjxuqwbj547,2020-2021-T1,3
pjxuqwbj551,2020-2021-T1,1
pjxuqwbj552,2020-2021-T1,1
pjxuqwbj558,2020-2021-T1,1
pjxuqwbj559,2020-2021-T1,3
pjxuqwbj562,2020-2021-T1,1
pjxuqwbj564,2020-2021-T1,1
pjxuqwbj565,2020-2021-T1,1
pjxuqwbj566,2020-2021-T1,3
pjxuqwbj568,2020-2021-T1,3
pjxuqwbj571,2020-2021-T1,1
pjxuqwbj572,2020-2021-T1,1
pjxuqwbj573,2020-2021-T1,1
pjxuqwbj574,2020-2021-T1,3
pjxuqwbj580,2020-2021-T1,1
pjxuqwbj581,2020-2021-T1,1
pjxuqwbj582,2020-2021-T1,3
pjxuqwbj583,2020-2021-T1,3
pjxuqwbj584,2020-2021-T1,1
pjxuqwbj585,2020-2021-T1,1
pjxuqwbj586,2020-2021-T1,3
pjxuqwbj588,2020-2021-T1,1
pjxuqwbj589,2020-2021-T1,1
pjxuqwbj591,2020-2021-T1,1
pjxuqwbj593,2020-2021-T1,1
pjxuqwbj594,2020-2021-T1,1
pjxuqwbj600,2020-2021-T1,1
pjxuqwbj605,2020-2021-T1,1
pjxuqwbj606,2020-2021-T1,3
pjxuqwbj608,2020-2021-T1,1
pjxuqwbj609,2020-2021-T1,3
pjxuqwbj610,2020-2021-T1,3
pjxuqwbj615,2020-2021-T1,1
pjxuqwbj618,2020-2021-T1,1
pjxuqwbj619,2020-2021-T1,1
pjxuqwbj621,2020-2021-T1,3
pjxuqwbj622,2020-2021-T1,1
pjxuqwbj624,2020-2021-T1,1
pjxuqwbj631,2020-2021-T1,1
pjxuqwbj632,2020-2021-T1,1
pjxuqwbj633,2020-2021-T1,3
pjxuqwbj634,2020-2021-T1,1
pjxuqwbj637,2020-2021-T1,1
pjxuqwbj638,2020-2021-T1,1
pjxuqwbj639,2020-2021-T1,1
pjxuqwbj641,2020-2021-T1,1
pjxuqwbj642,2020-2021-T1,3
pjxuqwbj643,2020-2021-T1,3
pjxuqwbj644,2020-2021-T1,3
pjxuqwbj647,2020-2021-T1,1
pjxuqwbj648,2020-2021-T1,1
pjxuqwbj650,2020-2021-T1,1
pjxuqwbj651,2020-2021-T1,3
pjxuqwbj654,2020-2021-T1,1
pjxuqwbj655,2020-2021-T1,1
pjxuqwbj658,2020-2021-T1,1
pjxuqwbj659,2020-2021-T1,3
pjxuqwbj661,2020-2021-T1,3
pjxuqwbj663,2020-2021-T1,1
pjxuqwbj665,2020-2021-T1,1
pjxuqwbj666,2020-2021-T1,3
pjxuqwbj673,2020-2021-T1,3
pjxuqwbj674,2020-2021-T1,1
pjxuqwbj676,2020-2021-T1,3
pjxuqwbj677,2020-2021-T1,1
pjxuqwbj678,2020-2021-T1,1
pjxuqwbj679,2020-2021-T1,1
pjxuqwbj686,2020-2021-T1,3
pjxuqwbj687,2020-2021-T1,3
pjxuqwbj691,2020-2021-T1,3
pjxuqwbj692,2020-2021-T1,3
pjxuqwbj694,2020-2021-T1,1
pjxuqwbj695,2020-2021-T1,1
pjxuqwbj698,2020-2021-T1,3
pjxuqwbj699,2020-2021-T1,1
pjxuqwbj701,2020-2021-T1,1
pjxuqwbj705,2020-2021-T1,1
pjxuqwbj708,2020-2021-T1,1
pjxuqwbj711,2020-2021-T1,1
pjxuqwbj712,2020-2021-T1,1
pjxuqwbj713,2020-2021-T1,1
pjxuqwbj714,2020-2021-T1,1
pjxuqwbj715,2020-2021-T1,1
pjxuqwbj717,2020-2021-T1,1
pjxuqwbj719,2020-2021-T1,1
pjxuqwbj721,2020-2021-T1,1
pjxuqwbj723,2020-2021-T1,3
pjxuqwbj724,2020-2021-T1,3
pjxuqwbj726,2020-2021-T1,1
pjxuqwbj731,2020-2021-T1,1
pjxuqwbj733,2020-2021-T1,3
pjxuqwbj734,2020-2021-T1,3
pjxuqwbj735,2020-2021-T1,3
pjxuqwbj738,2020-2021-T1,1
pjxuqwbj739,2020-2021-T1,3
pjxuqwbj745,2020-2021-T1,1
pjxuqwbj748,2020-2021-T1,1
pjxuqwbj750,2020-2021-T1,3
pjxuqwbj751,2020-2021-T1,3
pjxuqwbj755,2020-2021-T1,1
pjxuqwbj757,2020-2021-T1,1
pjxuqwbj758,2020-2021-T1,1
pjxuqwbj760,2020-2021-T1,1
pjxuqwbj761,2020-2021-T1,1
pjxuqwbj763,2020-2021-T1,1
pjxuqwbj766,2020-2021-T1,1
pjxuqwbj767,2020-2021-T1,3
pjxuqwbj770,2020-2021-T1,1
pjxuqwbj772,2020-2021-T1,1
pjxuqwbj773,2020-2021-T1,1
pjxuqwbj774,2020-2021-T1,1
pjxuqwbj778,2020-2021-T1,3
pjxuqwbj781,2020-2021-T1,1
pjxuqwbj783,2020-2021-T1,1
pjxuqwbj784,2020-2021-T1,1
pjxuqwbj785,2020-2021-T1,1
pjxuqwbj786,2020-2021-T1,1
pjxuqwbj787,2020-2021-T1,3
pjxuqwbj788,2020-2021-T1,1
pjxuqwbj796,2020-2021-T1,1
pjxuqwbj797,2020-2021-T1,1
pjxuqwbj799,2020-2021-T1,1
pjxuqwbj800,2020-2021-T1,3
pjxuqwbj803,2020-2021-T1,1
pjxuqwbj804,2020-2021-T1,1
pjxuqwbj805,2020-2021-T1,3
pjxuqwbj806,2020-2021-T1,1
pjxuqwbj811,2020-2021-T1,1
pjxuqwbj812,2020-2021-T1,3
pjxuqwbj814,2020-2021-T1,1
pjxuqwbj818,2020-2021-T1,1
pjxuqwbj826,2020-2021-T1,1
pjxuqwbj829,2020-2021-T1,1
