student_id,total_risk,risk_rank
pjxyqwbj577,0.3651,501
pjxyqwbj584,0.365,502
pjxyqwbj126,0.3649,503
pjxuqwbj903,0.3649,504
pjxyqxbk211,0.3647,505
pjxyqwbj036,0.3647,506
pjxyqwbj433,0.3646,507
pjxuqwbj545,0.3646,508
pjxyqxbk803,0.3646,509
pjxyqxbj114,0.3644,510
pjxuqwbj606,0.3644,511
pjxxzxbj998,0.3642,512
pjxyqwbk884,0.3642,513
pjxyqwbj651,0.3642,514
pjxyqxbj955,0.3641,515
pjxpqxbj932,0.364,516
pjxyqxbj415,0.364,517
pjxuqwbj905,0.3639,518
pjxyqxbl921,0.3639,519
pjxyqxbk841,0.3639,520
pjxuqwbj805,0.3638,521
pjxyqwbk653,0.3636,522
pjxuqwbj503,0.3634,523
pjxyqwbk796,0.3634,524
pjxyqxbj169,0.3631,525
pjxyqxbk263,0.363,526
pjxuqwbj778,0.3629,527
pjxyqwbk735,0.3626,528
pjwrqxbj924,0.3625,529
pjxwxxbj964,0.3622,530
pjxsqxbj971,0.3622,531
pjxyqwbk585,0.3617,532
pjxyqwbk925,0.3613,533
pjxyqxbk497,0.361,534
pjxyqwbk999,0.361,535
pjxyqxbk013,0.3609,536
pjxyqxbj776,0.3608,537
pjxyqwbk895,0.3608,538
pjxyqwbk741,0.3607,539
pjxyqwbj660,0.3604,540
pjxyqwbj617,0.3604,541
pjxyqwbk871,0.3603,542
pjwtqxbj967,0.3603,543
pjxxxxbj987,0.3603,544
pjxyqxbk782,0.3603,545
pjxyqxbk273,0.3602,546
pjxyqxbk604,0.3601,547
pjxyqxbl779,0.3601,548
pjxyqxbj777,0.3599,549
pjxyqxbj753,0.3599,550
pjxuqwbj904,0.3598,551
pjxxxxbj922,0.3598,552
pjxyqxbk789,0.3597,553
pjxsqxbj918,0.3597,554
pjwrqxbj935,0.3596,555
pjxqqxbj982,0.3593,556
pjxyqwbj830,0.3591,557
pjxyqwbj333,0.359,558
pjxuqwbj634,0.3589,559
pjxyqxbl990,0.3588,560
pjxyqwbj764,0.3588,561
pjxyqwbj139,0.3587,562
pjxxxxbj901,0.3586,563
pjxsqxbj787,0.3584,564
pjxyqxbl963,0.3583,565
pjxyqwbj631,0.3581,566
pjxxztbj998,0.358,567
pjxuqwbj676,0.3577,568
pjxyqwbj560,0.3576,569
pjxuqwbj517,0.3575,570
pjxxxxbj921,0.3574,571
pjxyqwbj004,0.3572,572
pjxsqxbj925,0.3572,573
pjxyqwbj699,0.3571,574
pjxyqwbj104,0.3567,575
pjxyqwbk727,0.3567,576
pjxuqwbj666,0.3566,577
pjxyqxbj162,0.3566,578
pjxpqxbj955,0.3563,579
pjxyqxbk882,0.3563,580
pjxyqxbl919,0.3562,581
pjxwxxbj934,0.3562,582
pjxxxxbj975,0.3562,583
pjxyqwbj452,0.3561,584
pjxyqwbk795,0.3561,585
pjxyqxbj399,0.356,586
pjxyqwbj455,0.356,587
pjxyqxbj740,0.356,588
pjxyqxbj669,0.3558,589
pjxyqxbl687,0.3557,590
pjxyqxbk232,0.3557,591
pjxyqwbk769,0.3555,592
pjxyqwbj035,0.3555,593
pjxyqxbk909,0.3554,594
pjxyqxbk513,0.3554,595
pjxyqxbk150,0.3553,596
pjxyqwbj914,0.3552,597
pjxyqxbk679,0.3551,598
pjxyqxbk700,0.355,599
pjxyqxbj132,0.3549,600
pjxuqwbj925,0.3549,601
pjxyqwbj590,0.3548,602
pjxyqxbk827,0.3548,603
pjxyqxbj323,0.3546,604
pjxyqwbj146,0.3546,605
pjxyqwbj685,0.3546,606
pjxyqxbj410,0.3546,607
pjxyqxbj027,0.3544,608
pjxyqxbj701,0.3542,609
pjxsqxbj812,0.3542,610
pjxwzxbj996,0.3542,611
pjxuqwbj933,0.354,612
pjxyqwbj027,0.3539,613
pjxyqwbj249,0.3539,614
pjxuqwbj803,0.3538,615
pjxyqxbk961,0.3536,616
pjxyqxbl753,0.3535,617
pjxuqwbj631,0.3534,618
pjxyqxbk840,0.3533,619
pjxyqxbk583,0.3533,620
pjxyqwbj868,0.3532,621
pjxyqwbk862,0.3532,622
pjxyqxbj147,0.3531,623
pjxuqwbj609,0.353,624
pjxyqxbj102,0.3528,625
pjxyqxbk039,0.3528,626
pjxyqxbj541,0.3527,627
pjxyqwbk868,0.3527,628
pjxyqxbl730,0.3526,629
pjxxxxbj980,0.3525,630
pjxyqxbk287,0.3525,631
pjxuqwbj654,0.3524,632
pjxuqwbj917,0.3523,633
pjwrqxbj980,0.352,634
pjxsqxbj996,0.3519,635
pjxyqxbk500,0.3518,636
pjxyqwbj811,0.3518,637
pjxyqwbk855,0.3517,638
pjxsqxbj981,0.3516,639
pjwtqxbj969,0.3516,640
pjxyqxbk627,0.3516,641
pjxyqwbj418,0.3516,642
pjxrqxbj951,0.3516,643
pjxwxxbj949,0.3514,644
pjxyqxbl812,0.3514,645
pjxyqwbk636,0.3514,646
pjxyqxbk535,0.3513,647
pjxuqwbj460,0.3513,648
pjxyqxbj092,0.3512,649
pjxyqxbj909,0.3512,650
pjwtqxbj952,0.3511,651
pjxyqxbk437,0.351,652
pjxyqwbj185,0.351,653
pjxyqwbk782,0.3509,654
pjxyqxbj771,0.3505,655
pjxrqxbj945,0.3505,656
pjxyqxbl827,0.3502,657
pjxyqxbk434,0.3501,658
pjxuqwbj953,0.35,659
pjxyqxbj501,0.35,660
pjxyqxbj405,0.35,661
pjxyqxbj066,0.3499,662
pjwtqxbj935,0.3499,663
pjxyqxbk631,0.3499,664
pjxyqwbj627,0.3499,665
pjxxxxbj942,0.3499,666
pjxyqxbj451,0.3498,667
pjxyqxbj334,0.3497,668
pjxyqxbl869,0.3497,669
pjxyqxbk799,0.3496,670
pjxyqwbj506,0.3495,671
pjxyqwbj285,0.3495,672
pjxyqwbj044,0.3495,673
pjxyqwbj041,0.3494,674
pjxyqxbl872,0.3494,675
pjxuqwbj686,0.3494,676
pjxyqxbj492,0.3494,677
pjxyqxbk676,0.3494,678
pjxyqwbk831,0.3493,679
pjxyqwbj031,0.3492,680
pjxyqxbj121,0.3492,681
pjxuqwbj692,0.3491,682
pjxsqxbj780,0.3491,683
pjwrqxbj901,0.349,684
pjxsqxbj936,0.3489,685
pjxyqwbk623,0.3487,686
pjxyqxbk470,0.3487,687
pjxyqxbj812,0.3486,688
pjxyqwbk710,0.3484,689
pjxyqwbk513,0.3483,690
pjxyqwbj278,0.3482,691
pjxyqxbk926,0.3482,692
pjxyqwbk632,0.3482,693
pjxyqwbj422,0.3482,694
pjxyqwbk899,0.3481,695
pjxyqxbj173,0.348,696
pjxyqwbj834,0.348,697
pjxyqxbj562,0.348,698
pjxyqxbl793,0.3478,699
pjwrqxbj991,0.3478,700
