student_id,life_risk,study_risk,sport_risk,total_risk
pjxyqwbk537,0.5015,0.2443,0.5424,0.4294
pjxyqwbj742,0.7507,0.0982,0.4377,0.4289
pjxrqxbj957,0.8044,0.0312,0.4489,0.4281
pjxyqwbk536,0.5015,0.2302,0.5527,0.4281
pjxyqxbj146,0.9074,0.0169,0.3585,0.4276
pjxyqwbj088,0.9775,0.0176,0.2873,0.4275
pjxyqxbk853,0.9662,0.0144,0.3,0.4269
pjxwxxbj970,1.0,0.0633,0.2168,0.4267
pjxxxxbj986,0.5015,0.2313,0.547,0.4266
pjxyqwbj468,0.9175,0.0169,0.3423,0.4256
pjxyqxbj527,0.9049,0.0193,0.3522,0.4254
pjxuqwbj714,0.981,0.0101,0.2834,0.4248
pjxyqxbk794,0.5015,0.1031,0.6689,0.4245
pjxyqxbj253,0.9301,0.0101,0.33,0.4234
pjxyqwbj368,0.5015,0.2449,0.5226,0.423
pjxuqwbj610,1.0,0.0224,0.2451,0.4225
pjxyqwbj838,0.9283,0.0301,0.3055,0.4213
pjxyqxbk935,0.5015,0.3671,0.394,0.4209
pjxwxxbj916,1.0,0.0101,0.252,0.4207
pjxqqxbj961,0.7791,0.0458,0.4363,0.4204
pjxpqxbj967,0.7975,0.1406,0.3228,0.4203
pjxyqxbj769,,0.4218,0.4185,0.4202
pjxyqxbk307,0.8429,0.0156,0.4016,0.4201
pjxuqwbj770,0.9465,0.0101,0.3006,0.419
pjxuqwbj582,0.5015,0.2325,0.5231,0.419
pjxyqxbj198,0.8577,0.0097,0.3864,0.4179
pjxyqwbk631,0.9056,0.0468,0.3009,0.4178
pjxyqxbk097,0.8756,0.0267,0.35,0.4174
pjxyqwbk698,0.7,0.0704,0.4796,0.4167
pjxyqxbj750,0.7775,0.0473,0.4248,0.4165
pjxyqxbj679,0.894,0.0162,0.3378,0.416
pjxyqwbj656,0.5015,0.2305,0.5102,0.4141
pjxyqxbj726,0.7075,0.0267,0.5079,0.414
pjxpqxbj937,0.731,0.1323,0.3783,0.4139
pjxyqxbk582,0.5015,0.1234,0.6155,0.4135
pjxwzxbj993,0.5015,0.3714,0.3673,0.4134
pjxuqwbj528,0.8734,0.0149,0.3505,0.4129
pjxwxxbj930,0.5015,0.0965,0.6404,0.4128
pjxuqwbj818,0.9587,0.0296,0.2494,0.4126
pjxyqxbk644,0.7066,0.1908,0.3399,0.4124
pjxyqwbk889,0.5015,0.2179,0.5149,0.4114
pjxyqwbj327,0.8061,0.0277,0.3982,0.4106
pjxyqwbj085,0.5015,0.3438,0.3811,0.4088
pjxyqxbk094,0.8496,0.0211,0.3517,0.4075
pjxyqwbj191,0.7259,0.1149,0.3811,0.4073
pjxyqxbj160,0.5713,0.0388,0.6118,0.4073
pjxyqwbj847,0.5015,0.3693,0.35,0.4069
pjxuqwbj781,,0.3268,0.4849,0.4059
pjxuqwbj450,0.5015,0.151,0.5647,0.4057
pjxyqxbl830,0.7325,0.0325,0.4518,0.4056
pjxrqxbj973,0.7608,0.0262,0.4292,0.4054
